house,year,date,url,file
senate,1978,1978-11-08,/parlInfo/download/hansard80/hansards80/1978-11-08/toc_unixml/19781108_senate_31_s79_v6.xml;fileType=text%2Fxml,19781108_senate_31_s79_v6.xml
senate,1978,1978-11-09,/parlInfo/download/hansard80/hansards80/1978-11-09/toc_unixml/19781109_senate_31_s79_v6.xml;fileType=text%2Fxml,19781109_senate_31_s79_v6.xml
senate,1978,1978-11-14,/parlInfo/download/hansard80/hansards80/1978-11-14/toc_unixml/19781114_senate_31_s79_v7.xml;fileType=text%2Fxml,19781114_senate_31_s79_v7.xml
senate,1978,1978-11-15,/parlInfo/download/hansard80/hansards80/1978-11-15/toc_unixml/19781115_senate_31_s79_v9.xml;fileType=text%2Fxml,19781115_senate_31_s79_v9.xml
senate,1978,1978-11-16,/parlInfo/download/hansard80/hansards80/1978-11-16/toc_unixml/19781116_senate_31_s79_v9.xml;fileType=text%2Fxml,19781116_senate_31_s79_v9.xml
senate,1978,1978-11-17,/parlInfo/download/hansard80/hansards80/1978-11-17/toc_unixml/19781117_senate_31_s79_v7.xml;fileType=text%2Fxml,19781117_senate_31_s79_v7.xml
senate,1978,1978-11-21,/parlInfo/download/hansard80/hansards80/1978-11-21/toc_unixml/19781121_senate_31_s79_v8.xml;fileType=text%2Fxml,19781121_senate_31_s79_v8.xml
senate,1978,1978-11-22,/parlInfo/download/hansard80/hansards80/1978-11-22/toc_unixml/19781122_senate_31_s79_v6.xml;fileType=text%2Fxml,19781122_senate_31_s79_v6.xml
senate,1978,1978-11-23,/parlInfo/download/hansard80/hansards80/1978-11-23/toc_unixml/19781123_senate_31_s79_v9.xml;fileType=text%2Fxml,19781123_senate_31_s79_v9.xml
senate,1978,1978-11-24,/parlInfo/download/hansard80/hansards80/1978-11-24/toc_unixml/19781124_senate_31_s79_v7.xml;fileType=text%2Fxml,19781124_senate_31_s79_v7.xml
senate,1979,1979-02-20,/parlInfo/download/hansard80/hansards80/1979-02-20/toc_unixml/19790220_senate_31_s80_v8.xml;fileType=text%2Fxml,19790220_senate_31_s80_v8.xml
senate,1979,1979-02-21,/parlInfo/download/hansard80/hansards80/1979-02-21/toc_unixml/19790221_senate_31_s80_v6.xml;fileType=text%2Fxml,19790221_senate_31_s80_v6.xml
senate,1979,1979-02-22,/parlInfo/download/hansard80/hansards80/1979-02-22/toc_unixml/19790222_senate_31_s80_v9.xml;fileType=text%2Fxml,19790222_senate_31_s80_v9.xml
senate,1979,1979-02-27,/parlInfo/download/hansard80/hansards80/1979-02-27/toc_unixml/19790227_senate_31_s80_v6.xml;fileType=text%2Fxml,19790227_senate_31_s80_v6.xml
senate,1979,1979-02-28,/parlInfo/download/hansard80/hansards80/1979-02-28/toc_unixml/19790228_senate_31_s80_v6.xml;fileType=text%2Fxml,19790228_senate_31_s80_v6.xml
senate,1979,1979-03-01,/parlInfo/download/hansard80/hansards80/1979-03-01/toc_unixml/19790301_senate_31_S80_v8.xml;fileType=text%2Fxml,19790301_senate_31_S80_v8.xml
senate,1979,1979-03-06,/parlInfo/download/hansard80/hansards80/1979-03-06/toc_unixml/19790306_senate_31_S80_v7.xml;fileType=text%2Fxml,19790306_senate_31_S80_v7.xml
senate,1979,1979-03-07,/parlInfo/download/hansard80/hansards80/1979-03-07/toc_unixml/19790307_senate_31_S80_v6.xml;fileType=text%2Fxml,19790307_senate_31_S80_v6.xml
senate,1979,1979-03-08,/parlInfo/download/hansard80/hansards80/1979-03-08/toc_unixml/19790308_senate_31_S80_v6.xml;fileType=text%2Fxml,19790308_senate_31_S80_v6.xml
senate,1979,1979-03-20,/parlInfo/download/hansard80/hansards80/1979-03-20/toc_unixml/19790320_senate_31_s80_v5.xml;fileType=text%2Fxml,19790320_senate_31_s80_v5.xml
senate,1979,1979-03-21,/parlInfo/download/hansard80/hansards80/1979-03-21/toc_unixml/19790321_senate_31_s80_v6.xml;fileType=text%2Fxml,19790321_senate_31_s80_v6.xml
senate,1979,1979-03-22,/parlInfo/download/hansard80/hansards80/1979-03-22/toc_unixml/19790322_senate_31_s80_v6.xml;fileType=text%2Fxml,19790322_senate_31_s80_v6.xml
senate,1979,1979-03-27,/parlInfo/download/hansard80/hansards80/1979-03-27/toc_unixml/19790327_senate_31_s80_v6.xml;fileType=text%2Fxml,19790327_senate_31_s80_v6.xml
senate,1979,1979-03-28,/parlInfo/download/hansard80/hansards80/1979-03-28/toc_unixml/19790328_senate_31_s80_v7.xml;fileType=text%2Fxml,19790328_senate_31_s80_v7.xml
senate,1979,1979-03-29,/parlInfo/download/hansard80/hansards80/1979-03-29/toc_unixml/19790329_senate_31_s80_v7.xml;fileType=text%2Fxml,19790329_senate_31_s80_v7.xml
senate,1979,1979-04-03,/parlInfo/download/hansard80/hansards80/1979-04-03/toc_unixml/19790403_senate_31_s80_v8.xml;fileType=text%2Fxml,19790403_senate_31_s80_v8.xml
senate,1979,1979-04-04,/parlInfo/download/hansard80/hansards80/1979-04-04/toc_unixml/19790404_senate_31_s80_v9.xml;fileType=text%2Fxml,19790404_senate_31_s80_v9.xml
senate,1979,1979-04-05,/parlInfo/download/hansard80/hansards80/1979-04-05/toc_unixml/19790405_senate_31_s80_v8.xml;fileType=text%2Fxml,19790405_senate_31_s80_v8.xml
senate,1979,1979-05-01,/parlInfo/download/hansard80/hansards80/1979-05-01/toc_unixml/19790501_senate_31_s81_v8.xml;fileType=text%2Fxml,19790501_senate_31_s81_v8.xml
senate,1979,1979-05-02,/parlInfo/download/hansard80/hansards80/1979-05-02/toc_unixml/19790502_senate_31_s81_v8.xml;fileType=text%2Fxml,19790502_senate_31_s81_v8.xml
senate,1979,1979-05-03,/parlInfo/download/hansard80/hansards80/1979-05-03/toc_unixml/19790503_senate_31_s81_v7.xml;fileType=text%2Fxml,19790503_senate_31_s81_v7.xml
senate,1979,1979-05-08,/parlInfo/download/hansard80/hansards80/1979-05-08/toc_unixml/19790508_senate_31_s81_v6.xml;fileType=text%2Fxml,19790508_senate_31_s81_v6.xml
senate,1979,1979-05-09,/parlInfo/download/hansard80/hansards80/1979-05-09/toc_unixml/19790509_senate_31_s81_v9.xml;fileType=text%2Fxml,19790509_senate_31_s81_v9.xml
senate,1979,1979-05-10,/parlInfo/download/hansard80/hansards80/1979-05-10/toc_unixml/19790510_senate_31_s81_v9.xml;fileType=text%2Fxml,19790510_senate_31_s81_v9.xml
senate,1979,1979-05-22,/parlInfo/download/hansard80/hansards80/1979-05-22/toc_unixml/19790522_senate_31_s81_v6.xml;fileType=text%2Fxml,19790522_senate_31_s81_v6.xml
senate,1979,1979-05-23,/parlInfo/download/hansard80/hansards80/1979-05-23/toc_unixml/19790523_senate_31_s81_v7.xml;fileType=text%2Fxml,19790523_senate_31_s81_v7.xml
senate,1979,1979-05-24,/parlInfo/download/hansard80/hansards80/1979-05-24/toc_unixml/19790524_senate_31_s81_v8.xml;fileType=text%2Fxml,19790524_senate_31_s81_v8.xml
senate,1979,1979-05-28,/parlInfo/download/hansard80/hansards80/1979-05-28/toc_unixml/19790528_senate_31_s81_v6.xml;fileType=text%2Fxml,19790528_senate_31_s81_v6.xml
senate,1979,1979-05-29,/parlInfo/download/hansard80/hansards80/1979-05-29/toc_unixml/19790529_senate_31_s81_v7.xml;fileType=text%2Fxml,19790529_senate_31_s81_v7.xml
senate,1979,1979-05-30,/parlInfo/download/hansard80/hansards80/1979-05-30/toc_unixml/19790530_senate_31_s81_v9.xml;fileType=text%2Fxml,19790530_senate_31_s81_v9.xml
senate,1979,1979-05-31,/parlInfo/download/hansard80/hansards80/1979-05-31/toc_unixml/19790531_senate_31_s81_v8.xml;fileType=text%2Fxml,19790531_senate_31_s81_v8.xml
senate,1979,1979-06-04,/parlInfo/download/hansard80/hansards80/1979-06-04/toc_unixml/19790604_senate_31_s81_v6.xml;fileType=text%2Fxml,19790604_senate_31_s81_v6.xml
senate,1979,1979-06-05,/parlInfo/download/hansard80/hansards80/1979-06-05/toc_unixml/19790605_senate_31_s81_v9.xml;fileType=text%2Fxml,19790605_senate_31_s81_v9.xml
senate,1979,1979-06-06,/parlInfo/download/hansard80/hansards80/1979-06-06/toc_unixml/19790606_senate_31_s81_v7.xml;fileType=text%2Fxml,19790606_senate_31_s81_v7.xml
senate,1979,1979-06-07,/parlInfo/download/hansard80/hansards80/1979-06-07/toc_unixml/19790607_senate_31_s81_v6.xml;fileType=text%2Fxml,19790607_senate_31_s81_v6.xml
senate,1979,1979-06-08,/parlInfo/download/hansard80/hansards80/1979-06-08/toc_unixml/19790608_senate_31_s81_v9.xml;fileType=text%2Fxml,19790608_senate_31_s81_v9.xml
senate,1979,1979-08-21,/parlInfo/download/hansard80/hansards80/1979-08-21/toc_unixml/19790821_senate_31_s82_v7.xml;fileType=text%2Fxml,19790821_senate_31_s82_v7.xml
senate,1979,1979-08-22,/parlInfo/download/hansard80/hansards80/1979-08-22/toc_unixml/19790822_senate_31_s82_v9.xml;fileType=text%2Fxml,19790822_senate_31_s82_v9.xml
senate,1979,1979-08-23,/parlInfo/download/hansard80/hansards80/1979-08-23/toc_unixml/19790823_senate_31_s82_v8.xml;fileType=text%2Fxml,19790823_senate_31_s82_v8.xml
senate,1979,1979-08-28,/parlInfo/download/hansard80/hansards80/1979-08-28/toc_unixml/19790828_senate_31_s82_v6.xml;fileType=text%2Fxml,19790828_senate_31_s82_v6.xml
senate,1979,1979-08-29,/parlInfo/download/hansard80/hansards80/1979-08-29/toc_unixml/19790829_senate_31_s82_v9.xml;fileType=text%2Fxml,19790829_senate_31_s82_v9.xml
senate,1979,1979-08-30,/parlInfo/download/hansard80/hansards80/1979-08-30/toc_unixml/19790830_senate_31_s82_v7.xml;fileType=text%2Fxml,19790830_senate_31_s82_v7.xml
senate,1979,1979-09-11,/parlInfo/download/hansard80/hansards80/1979-09-11/toc_unixml/19790911_senate_31_s82_v9.xml;fileType=text%2Fxml,19790911_senate_31_s82_v9.xml
senate,1979,1979-09-12,/parlInfo/download/hansard80/hansards80/1979-09-12/toc_unixml/19790912_senate_31_s82_v5.xml;fileType=text%2Fxml,19790912_senate_31_s82_v5.xml
senate,1979,1979-09-13,/parlInfo/download/hansard80/hansards80/1979-09-13/toc_unixml/19790913_senate_31_s82_v7.xml;fileType=text%2Fxml,19790913_senate_31_s82_v7.xml
senate,1979,1979-09-18,/parlInfo/download/hansard80/hansards80/1979-09-18/toc_unixml/19790918_senate_31_s82_v6.xml;fileType=text%2Fxml,19790918_senate_31_s82_v6.xml
senate,1979,1979-09-19,/parlInfo/download/hansard80/hansards80/1979-09-19/toc_unixml/19790919_senate_31_s82_v8.xml;fileType=text%2Fxml,19790919_senate_31_s82_v8.xml
senate,1979,1979-09-20,/parlInfo/download/hansard80/hansards80/1979-09-20/toc_unixml/19790920_senate_31_s82_v7.xml;fileType=text%2Fxml,19790920_senate_31_s82_v7.xml
senate,1979,1979-09-25,/parlInfo/download/hansard80/hansards80/1979-09-25/toc_unixml/19790925_senate_31_s82_v6.xml;fileType=text%2Fxml,19790925_senate_31_s82_v6.xml
senate,1979,1979-09-26,/parlInfo/download/hansard80/hansards80/1979-09-26/toc_unixml/19790926_senate_31_s82_v5.xml;fileType=text%2Fxml,19790926_senate_31_s82_v5.xml
senate,1979,1979-09-27,/parlInfo/download/hansard80/hansards80/1979-09-27/toc_unixml/19790927_senate_31_s82_v6.xml;fileType=text%2Fxml,19790927_senate_31_s82_v6.xml
senate,1979,1979-10-09,/parlInfo/download/hansard80/hansards80/1979-10-09/toc_unixml/19791009_senate_31_s82_v8.xml;fileType=text%2Fxml,19791009_senate_31_s82_v8.xml
senate,1979,1979-10-10,/parlInfo/download/hansard80/hansards80/1979-10-10/toc_unixml/19791010_senate_31_s82_v7.xml;fileType=text%2Fxml,19791010_senate_31_s82_v7.xml
senate,1979,1979-10-11,/parlInfo/download/hansard80/hansards80/1979-10-11/toc_unixml/19791011_senate_31_s82_v7.xml;fileType=text%2Fxml,19791011_senate_31_s82_v7.xml
senate,1979,1979-10-16,/parlInfo/download/hansard80/hansards80/1979-10-16/toc_unixml/19791016_senate_31_s82_v7.xml;fileType=text%2Fxml,19791016_senate_31_s82_v7.xml
senate,1979,1979-10-17,/parlInfo/download/hansard80/hansards80/1979-10-17/toc_unixml/19791017_senate_31_s82_v8.xml;fileType=text%2Fxml,19791017_senate_31_s82_v8.xml
senate,1979,1979-10-18,/parlInfo/download/hansard80/hansards80/1979-10-18/toc_unixml/19791018_senate_31_s82_v9.xml;fileType=text%2Fxml,19791018_senate_31_s82_v9.xml
senate,1979,1979-10-23,/parlInfo/download/hansard80/hansards80/1979-10-23/toc_unixml/19791023_senate_31_s83_v7.xml;fileType=text%2Fxml,19791023_senate_31_s83_v7.xml
senate,1979,1979-10-24,/parlInfo/download/hansard80/hansards80/1979-10-24/toc_unixml/19791024_senate_31_s83_v9.xml;fileType=text%2Fxml,19791024_senate_31_s83_v9.xml
senate,1979,1979-10-25,/parlInfo/download/hansard80/hansards80/1979-10-25/toc_unixml/19791025_senate_31_s83_v9.xml;fileType=text%2Fxml,19791025_senate_31_s83_v9.xml
senate,1979,1979-11-06,/parlInfo/download/hansard80/hansards80/1979-11-06/toc_unixml/19791106_senate_31_s83_v8.xml;fileType=text%2Fxml,19791106_senate_31_s83_v8.xml
senate,1979,1979-11-07,/parlInfo/download/hansard80/hansards80/1979-11-07/toc_unixml/19791107_senate_31_s83_v8.xml;fileType=text%2Fxml,19791107_senate_31_s83_v8.xml
senate,1979,1979-11-08,/parlInfo/download/hansard80/hansards80/1979-11-08/toc_unixml/19791108_senate_31_s83_v7.xml;fileType=text%2Fxml,19791108_senate_31_s83_v7.xml
senate,1979,1979-11-13,/parlInfo/download/hansard80/hansards80/1979-11-13/toc_unixml/19791113_senate_31_s83_v7.xml;fileType=text%2Fxml,19791113_senate_31_s83_v7.xml
senate,1979,1979-11-14,/parlInfo/download/hansard80/hansards80/1979-11-14/toc_unixml/19791114_senate_31_s83_v8.xml;fileType=text%2Fxml,19791114_senate_31_s83_v8.xml
